"id","customer","isAnonymous","anonymousBind","createdAt","ipAddress","useragent","acceptLanguage","consumerApp","unnecessary2","touchpoint","location"
"100016","132","1","USERAGENT","2021-09-26 17:04:38","90.232.231.102","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36","es-ES","","RllJEzknwmwRLUY vvgGfTmgVxrOQlhinImRooswhbvHgpGxPDrIAw eRkWMBnzsRHSmerzy","M2M_SDK","2"
"100017","183","0","","2021-08-19 16:00:48","250.4.231.52","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36","de-AT","","bBDLRKFgPfTkXdLNGaJMbrXetcOuCdrIyVIkeyDLQgdCVGCDNsoGXcsl","SEARCH_ENGINE","6"
"100018","108","0","","2021-08-17 13:04:08","207.8.247.192","Mozilla/5.0 (X11; Linux x86_64; rv:91.0) Gecko/20100101 Firefox/91.0","fr-CA","","iLDriPPwVhziJMHlpNgRRQWiQKGZqivMZGbIyJIRjS WcsuZJwjGOuUXfLillxviRFWXybItlpjAHlDtrsFoIye","CAMPAIGN_LINK","6"
"100019","116","0","","2021-09-10 08:46:12","145.27.78.100","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36 OPR/79.0.4143.50","de-DE","","XPvjZfPDjLEJpWlkgBR APiVLghUzKfUYtsrGAmQipJnmSmEQjYweSSxxJIlTJJwpzclffTnGlWl","MANUAL_CODE","3"
"100020","172","0","","2021-08-10 17:52:25","17.152.39.204","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15","fr-FR","","eNkYesRveHCtOpFjXodldEpLmjJBDLBIkXMrq KLhrteZkjVnX xSEUaFTeMxhPLUxhtZMJnkXaxQRXdFnn ","SOCIAL_MEDIA","8"
"100021","173","0","","2021-08-12 10:15:50","239.45.251.122","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36","en-US","","PNxCvxJioputYUltVmfiFzYvGqJRmDgoOQScPxZRuQyBOoyzXSM jAgsOxjNaswNi","SOCIAL_MEDIA","6"
"100022","166","1","USERAGENT","2021-08-25 21:09:27","167.76.107.228","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36","fr-FR","","CPeMhycZgscoIwggedXwdQWozcGBSZNFEqylqMduGsQESCGLSafKIKQLskZnoCaatXvNDeffLWKgVvoJ fmKyU nrDO YE vlVE","E_COMMERCE_STORE","3"
"100023","165","0","","2021-08-08 01:16:24","156.46.246.46","Mozilla/5.0 (X11; Linux x86_64; rv:91.0) Gecko/20100101 Firefox/91.0","es-ES","","jnI sBOjSdLZfbuvzcQEUSPECBrpYgiFXemjcNFZaMURBSKAesrXBmRNDXeRKqotXtStorAgvdd","BRAND_WEBSITE","6"
"100024","120","0","","2021-08-20 05:57:53","237.9.16.187","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36","fr-CA","","zznyHlRjAksRwODOAElPhwHRehuMWDIkAtgHxeormRaHoCBDPrlxrBUClyQmenkU","MANUAL_CODE","9"
"100025","148","0","","2021-09-06 10:40:50","101.229.128.236","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36 Edg/92.0.902.84","en-US","","nIQOUnFbFJIErdpzLSPUmWwhVhQOksHUnCzNEoTlTLtIKdyMWYOhSP GrsDyRkYBHuZbYdFJbzsqjiAHQqlxl ","BRAND_WEBSITE","7"
"100026","171","1","IP_ADDRESS","2021-09-08 05:49:25","143.247.93.2","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:91.0) Gecko/20100101 Firefox/91.0","et-EE","","ttqqgoHRNcMjCEUXDKAkbPsqoSAUfbtrhqVHwXjZJydliGOrzHEKdzRKWjuuClwBsOqPk beNmbyHTchGVhitBLWPZUlq","SMS_CODE","7"
"100027","103","0","","2021-09-22 11:04:15","253.217.66.32","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36","de-DE","ikea-ios.v2","ntPgIYNHxKTgwteDouWnXOTWBpQLOgDwyKQmlkNVlkmKaymqwbKLTVPAOpUTwwSfBLehFIwuOJNxSnrQQhirlidlzDZB","MANUAL_CODE","9"
"100028","135","0","","2021-08-14 02:39:37","224.118.87.58","Mozilla/5.0 (X11; Linux x86_64; rv:91.0) Gecko/20100101 Firefox/91.0","en-CA","","qyarMjjetRqOpFlaNqNftCsXgxAbsbepHlJWcvgrMyUCcCcwSBYivyqxquciEqyUnW","ONLINE_STORE","10"
"100029","102","0","","2021-09-21 11:11:02","151.177.235.212","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36 Edg/92.0.902.84","en-US","","FGXHUHgTYFdQtYUFzMafgJfmGpniAEapClnXMzsHCNCeuHYHYZKQlonqJe","MANUAL_CODE","10"
"100030","172","0","","2021-08-22 22:38:38","58.80.182.222","Mozilla/5.0 (Windows NT 10.0; rv:91.0) Gecko/20100101 Firefox/91.0","es-MX","","JrpLmJJWRDbccNLFSf PInSIJ LpqzMeDAdptrvtDTZAMOTxxyEdtV","SOCIAL_MEDIA","4"
"100031","156","0","","2021-08-09 16:33:14","164.42.231.177","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36","es-AR","","QHvLbAfmNERFZZgErtoOvpqpbtAGQgylkyBMPIPDHmDNaVQfU gYtQfzkeDCNhjmtqgkKgxsuzaYOVUWXhWOeZfAyZ DatrdIHaT","SOCIAL_MEDIA","1"
"100032","177","1","USERAGENT","2021-08-10 15:34:07","170.99.24.238","Mozilla/5.0 (X11; Linux x86_64; rv:91.0) Gecko/20100101 Firefox/91.0","de-AT","","okoRLGqkEjYfGogpkNyUCELDYxSnieIeNYeC HfLiM koDbYzIXmEKfHjqLPvfoTymhgLgOllWrbENokahUowgekDQQoizWiI","SOCIAL_MEDIA","9"
"100033","172","1","MAC_ADDRESS","2021-08-15 01:56:33","63.241.78.158","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:91.0) Gecko/20100101 Firefox/91.0","fr-CA","","UGThnUjNIxaKYpMhGwkniNefflUkJKzYxSzTRNZGiNCrZEYxzZDhINEsqCqJKeODjGJkkFOEqLHjnYINLlGrYuVWbXJDNkoA","PUSH_NOTIFICATION","9"
"100034","183","0","","2021-08-07 09:31:03","118.227.235.223","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36 Edg/92.0.902.78","de-AT","","agNijmthhNJvyBhkNbBBPRPirIRYEo qcXkOVCaaFHJiVioKHyFXylsGKzNCoiNXdifLtyKAYsfKNdANJKJz","ONLINE_STORE","1"
"100035","112","1","USERAGENT","2021-09-16 11:35:57","183.123.173.140","Mozilla/5.0 (Windows NT 10.0; rv:91.0) Gecko/20100101 Firefox/91.0","en-US","","ZOREENCgTxslALyufKu MlqngdxbazVGfZDwYAgzviaBWboGHvrB","M2M_SDK","9"
"100036","152","1","USERAGENT","2021-08-18 08:30:28","85.105.142.17","Mozilla/5.0 (X11; Linux x86_64; rv:91.0) Gecko/20100101 Firefox/91.0","fr-BE","","DqxaxhvXbOwIZgDdNzkBVIjIWRAPhulQZrdjFEVTeylzejIswbgOia","BRAND_WEBSITE","2"
"100037","189","1","USERAGENT","2021-09-25 00:22:57","254.217.168","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36","es-ES","ikea-android.v4"," wvbeFbCLMPjsTGeFLXCMKFdYWRngHAzjVaLSHQRgadUVxDkHuDDHKnvGdZDxyQARYzEIsnrxuyYmCnwSiyavv","SOCIAL_MEDIA","10"
"100038","192","1","USERAGENT","2021-09-14 20:23:58","45.44.56.0","Mozilla/5.0 (Windows NT 10.0; rv:91.0) Gecko/20100101 Firefox/91.0","en-US","","KDEPCYPckfyqqyeJUjWOStsNmPNirxAnmLLgZzHIJGItNKiMcgxJGgwzXdGsOeLIeBibHdmTZmOFNDRSuLXRCKWE MSRWKI","E_COMMERCE_STORE","6"
"100039","104","1","MAC_ADDRESS","2021-09-01 14:37:54","244.140.209.14","Mozilla/5.0 (Windows NT 10.0; rv:91.0) Gecko/20100101 Firefox/91.0","fr-CA","","paBksHOonwIYeVrHluwpWvbGGOIZKjbmWveEQtMAPtaitUBvIFJIPQVeYbMJynkNCaxhknVFTSMQVHJwTIgoIuUGmlQQp","ONLINE_STORE","1"
"100040","157","0","","2021-09-12 16:11:05","28.224.160.10","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0","fr-CA","","WxiBrUvVQttjfSBmdPwcYaoGqJvkKTGhzSPdvdZhkhlNFJFzIcNglBQEKPeuKeiTYvKJpROyEuiOBsChzFyjRAmBWAwz","BRAND_WEBSITE","3"
"100041","146","0","","2021-08-28 23:07:35","164.211.53.17","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36","fr-CA","","gmxFjcHFyzmxKpYORoLSvvRhUpyTzcjYJoUAHoXbqOrmOsPNMFkmIfIoNFBWgzAxHGUlZGjxJ","CAMPAIGN_LINK","10"
"100042","146","0","","2021-08-05 18:26:14","234.224.180.168","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36","fr-FR","","scKHF mvBm swAgpyaqzSBydhmTkeszLFEisFTUnpErpIHdAVccniNJXthCOZkLdUyROTTWXm","SMS_CODE","3"
"100043","108","0","","2021-08-04 06:12:29","246.209.142.101","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:91.0) Gecko/20100101 Firefox/91.0","de-AT",""," XqocoFLhMyS z OTUaKuZfZVEHhcpTM RCgVIDYXIdtPAFUOrvFRJHzLV AJcOXbxfcuvH","BRAND_WEBSITE","5"
"100044","126","1","IP_ADDRESS","2021-09-06 02:15:53","81.109.68.130","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36 Edg/92.0.902.78","de-DE","","clgjVfUjxMbJuTdowxZjheXTQVCMUwydLdmBSkeMaZEexeqUJwQqtxOEdyBpVxPZah","ONLINE_STORE","8"
"100045","199","0","","2021-08-24 07:42:32","141.146.184.45","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15","en-CA","","OZZPpNoAnQZeTbQKhBdlXdvqBShwVVgOddMjQVPHTWUWWaVZCDEPmRP","ONLINE_STORE","4"
"100046","120","1","IP_ADDRESS","2021-08-22 12:49:35","146.211.105.84","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36","de-DE","","pGrshesjJgBoDQoAYaTlcFJjXFILe cTXvnIUvJghZWArbeVFDn T U","ONLINE_STORE","1"
"100047","163","0","","2021-08-25 10:32:55","202.126.124.201","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:91.0) Gecko/20100101 Firefox/91.0","de-DE","","rIgLdlmQwoCgVyoBBwsAxETbWxQqQvlKEbmRKHZBZoIiwQDuWatKvaSkTqugoMbgRTVJoqAxhZP ckaURAbRbxNdrizGxocfbDS","SOCIAL_MEDIA","3"
"100048","190","0","","2021-08-23 17:04:56","249.173.211.147","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36 Edg/92.0.902.78","et-EE","","reeIeUHVlxNuheeFcYnxOzddvNCpipyNXruUxnUhNHGjJSbjSPgMJkaKcQeFTnHAQJlgCoudiLVxB","CAMPAIGN_LINK","8"
"100049","176","0","","2021-09-23 18:02:03","54.105.153.209","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36","et-EE","","C XBMHwGPWFtWlRgIUlKAUKASeBqySYkiz dYWOnDEnooIzEyhhtNHnPzZpEuodP YOcUilUUWOL QmNGGwi nScWUhPPEHIbFl","SMS_CODE","7"
"100050","109","0","","2021-08-31 02:25:13","33.198.34.216","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15","es-AR","","cKjwCSgoyShwufjguuLOjebpwKRVlZzxLIxkDSJPUGkMtPOgvjMcnGPiWqGs EXxwIHA fuNPZmoOXdjxVWZeBcVnR","CAMPAIGN_LINK","2"
"100051","110","1","MAC_ADDRESS","2021-08-08 03:03:12","153.84.32.168","Mozilla/5.0 (Windows NT 10.0; rv:91.0) Gecko/20100101 Firefox/91.0","es-ES","ikea-ios.v3","hNJdPxAtpCiAydDrQIiebaqKYjmNkTCXGAm BdhNuUfBrleUFsRlBmGEJJMQWikUAtK jYSQqToUBHHwCu","PUSH_NOTIFICATION","3"
"100052","167","1","USERAGENT","2021-09-08 22:52:45","22.7.75.246","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0","et-EE","ikea-android.v5","Gl  SdKprJvHJcwvvKCsIzSHrsfjUSywxTckKcZTyhHhBNDbAqiPqVgHlTLDvkGWTeCVSQ  UuiRtlDBBBNtvtPN","SMS_CODE","1"
"100053","195","0","","2021-08-01 13:42:09","188.193.129.107","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:91.0) Gecko/20100101 Firefox/91.0","de-DE","","ylDfNofcgUaMskIBBIcxCsvmiqiRpsbPDweNygqrGvQpxiApvIfEfIhJvwIVuJJrAyLLQ nToewOFzWREmfgrlNDzo","SEARCH_ENGINE","3"
"100054","140","1","MAC_ADDRESS","2021-08-05 00:54:37","116.224.94.181","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36","en-CA","","ZTQTeutDRhaBDeENRkaGaqFgYh  JuKNqQIkotSUixpRHOpXOW","BRAND_WEBSITE","4"
"100055","148","1","USERAGENT","2021-09-24 08:54:03","220.219.210.43","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36","fr-BE","","HRAYzPxkcgDZsnMQagaGgzYrhlrXgjORTMZLhkKzdsSMVbUijuYK ","BRAND_WEBSITE","6"
"100056","117","0","","2021-08-18 04:50:21","32.213.72.35","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36","fr-BE","ikea-android.v4","hQPNMYjZgXPDCFyqxiVX NCdSYkupdycOzVEZUXIhcBWn LaIVCVtEKEKibplaqk bEtFBF","PUSH_NOTIFICATION","3"
"100057","183","0","","2021-08-08 04:23:32","246.221.101.96","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:91.0) Gecko/20100101 Firefox/91.0","es-MX","","bIXxayiwRtp KwMZk wqefbMLVlUCDevtbayJtJJrIyM sFhIUDiiaqdnknxjP","ONLINE_STORE","5"
"100058","151","1","MAC_ADDRESS","2021-08-14 19:37:59","47.106.208.173","Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36","fr-CA","","ahQTCJrxDGqzmAsMpZOSNCquTmr u BXfFlGysoPaBTaDUgUgnQVMhVckyprIaQtXOVonKjP qxYFQrnYPNVAnXGVbJqWDNp","SOCIAL_MEDIA","10"
"100059","101","0","","2021-09-01 06:19:06","73.205.236.225","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36","de-AT","","A CvoDfiiOzMyuNipHmkbNJLvqgNXVfLUYhrHONEefMCRJoixgYEPMdsWlYeakZHLWprGHbyXPToHKjtjLJOhCRQ","MANUAL_CODE","6"
"100060","171","0","","2021-09-09 19:48:52","160.247.111.4","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:91.0) Gecko/20100101 Firefox/91.0","de-AT","ikea-ios.v3","PyuHDUu pECDePmzwzXqCzNhbdmbDkqFnDTq EjKIuplrJpjSbUgJkxWyApihvQXfTEiNIufmHfkhPDvZ","M2M_SDK","9"
"100061","182","0","","2021-09-19 05:19:04","46.49.104.117","Mozilla/5.0 (X11; Linux x86_64; rv:91.0) Gecko/20100101 Firefox/91.0","fr-BE","","lPNBRNREIQYzkRhEmiPrlEozJkHdmBAhOUNOlvUBrTGyfJbtnmWDnjFAMbTwoU ","CAMPAIGN_LINK","6"
"100062","112","0","","2021-09-21 12:10:04","158.67.124.82","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36","et-EE","","hLfjrZBvAOZyRgoyVEqerTKoPySuaOvnUoUfV yTqOsOhftqbxevuo VxVF jdFXvUpFWOhd","SOCIAL_MEDIA","4"
"100063","174","1","MAC_ADDRESS","2021-08-16 22:42:06","176.118.151.100","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36","en-US","","mXzNrXOhrYujYwXllhrgrsAbUZSjsMWbrC FDYZKMXrkoaDZbIPJ","SMS_CODE","2"
"100064","193","1","MAC_ADDRESS","2021-08-25 04:51:27","111.209.122.132","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36 OPR/79.0.4143.50","es-ES",""," SmFBDnrYBkUhtfodrCLCXLqCKUXrQOpLQDjuTPYEsSEegUoSUukvPPWoqhDSltzCXNOSCsLZKPQpPcWJSWtFX qYiVljDuNSgjL","SEARCH_ENGINE","10"
"100065","171","0","","2021-09-26 06:24:16","185.38.220.161","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36","de-AT","","wvbSccBMTqyEkytzrgqtKPmYDwXkKZpLCjHTlNgAl YNWZLYlCmEIt","CAMPAIGN_LINK","4"
"100066","184","1","USERAGENT","2021-08-25 08:49:56","88.66.208.209","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36","et-EE","","NzcBveOpbOzPunFrdROStMtdJh QeVkPgqmoWRzYpwZlHwHegLwQcopkVzZZdV","BRAND_WEBSITE","3"
"100067","115","1","IP_ADDRESS","2021-08-26 20:53:29","244.101.97.215","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36 OPR/79.0.4143.50","en-US","","mhdTTuobVZLEMQnKZadnsHwBJADbntIStoYhfOTarbOiJfttuuiMWQravogzhzXFFPaqrKUoHIwNBcs","SMS_CODE","1"
"100068","194","1","IP_ADDRESS","2021-08-06 11:53:05","59.20.244.193","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36","et-EE","","xWiDUvQmrxCPQFRZaspn jrpyHVOQAUDfHPlPozPWxjqegonnfZrxhwEvucgHQRQIeHyUXkF","M2M_SDK","3"
"100069","155","0","","2021-08-08 20:33:20","2.50.59.17","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.159 Safari/537.36","es-MX","","TfXBrelzvBNgqNUxWYceIyYApBMrQeQFnIRTZxWCzNTYYCpXfFocmUBNpfNgoKgVlfAKqQOpiBJPVmmCYx DRpAUGhoXfAtk","E_COMMERCE_STORE","7"
"100070","121","1","MAC_ADDRESS","2021-08-12 14:45:57","164.74.112.153","Mozilla/5.0 (Windows NT 10.0; rv:91.0) Gecko/20100101 Firefox/91.0","en-CA","","aRMqYMJhPn WKHLidUHGgHUqemaCswHRvPecn gIAHfLfeFJjbZzdFvuW","CAMPAIGN_LINK","3"
