id,datetime,session,journeyPhase,product,referer,unnecessary5
1000021,2021-09-22 17:10:31,100413,SEARCHING,103,qLJPjxriB,HMBPlLGyOZb OItSzvBZTPRjNFleLIOHrnhSZuSCXqnaJYsXEEgLGPXSdpuFFvoioXNrPXQkTBqXpvhhjfnImbRBCywbLeSA
1000022,2021-09-18 21:42:59,100273,CANCEL_PAYMENT,101,RlJWVdnNUN,QISKmUUSdyFkNnkxBjQRIzTWhAIDBpnYLGfZTLtnujWMjjgpjXghWpqUkJyFMDVA O iLTURWyYGLJxjTaVFvokQvaN
1000023,2021-09-01 03:23:35,100093,COMPLETION,122,ZLpogkGarUpHZHtHd,JWoaYLGhOFusMAtyV CdCMbEBfUS
1000024,2021-08-27 20:31:00,100159,SEARCHING,116,TYvJVXOcUhUybWzTncwN,YUixxujshYVvMuBtYuSTECgMZnLrZBGjMtkbdu grHZFgjzErPWqVdDqaQDKFCU Z
1000025,2021-09-21 10:08:11,100932,SEARCHING,110,gWIDqpxTdL,CQBhChYkqpsBYnEanCfzwFfHnxKvVdSCFyJplMHXoNgVMajXCAQjNODSqbRDX
1000026,2021-09-10 22:18:34,100542,SEARCHING,106,jbzNrbphwQaUDDlgoq,yp VDxHqniYiwmEnnudwRIhmHzVgXugNxLeOwFCjDbEjGcVUniMGeautNLQGtZYZHmpkNvGdeO
1000027,2021-08-11 13:28:40,100592,CANCEL_PAYMENT,145,ymGqfAHFFqOejkQBflCpZoNNdzipa,KcbqFdVUcyxGQOYtvjQooRZFQSJILaqTFGyskoGjtXkxUaaCeHVzTeOxHRBPHHbgKlOjiAhdwTBIwDGRarCmtGo
1000028,2021-08-20 17:39:38,100527,SEARCHING,102,GmgmZriHBTDjPdzSwlLOmQwg,sRPqJMaUVMuZWkkUMAWYkFOpiSXZXod oTjZNjMMUALtLEuXpaDdZbynaOQwFyXcOjggxbEsfEIDN
1000029,2021-08-17 16:30:38,100950,COMPLETION,123,JGWIujAzTKnCwXlLFZE,tVDfNcHLtiJVRzzhctmBpZDfqOLxsBuaRZJyk
1000030,2021-08-16 02:59:32,100361,CANCEL_PAYMENT,147,XuFaCEyhcbhbqUvkNUI,rxZudqSWPUd iILdLCjsSGmavsBmkBzJKO F SpEURilANrmqYsubkSkYm ZRd iFPcsYaQaSckWQmisfEZJ
1000031,2021-08-10 21:08:15,100138,FILTERING,148,ZeAYH,VTNTCTZsTdkjHpTNI
1000032,2021-09-11 10:55:43,100616,COMPARING,138,ieYQIGPRsnRJqraADQWhbnZ,QtPWWqijFZYAG  ezFrMbu
1000033,2021-09-14 16:45:09,100785,COMPLETION,144,UwzUVYfEVP,v xuIlx TlVOsxXqkVXAuQOhJoRfaFipsCPXOFnDtyytHeuoQLeQavtAkIcnyjjAgMdjdqyMuyEetEgeLzG
1000034,2021-09-08 23:10:04,100878,SEARCHING,123,rpRZfinORdNhSlbbaVTTxQweteOdeu,QlfUeqpAxZNJYrnVBoPkAhjmr
1000035,2021-09-05 03:54:22,100603,COMPARING,143,hekQtrShxldUoMzy,RWrlXlXjnnirsmUunPEMhHrFbbEFAndHsLBtqYJySILeyPKUGjBcKHwoizQjD O
1000036,2021-08-25 18:28:51,100808,SEARCHING,140,AfERjvFKsdAOFMgo,g bcyGTXwvSXgvRsBbjZH
1000037,2021-09-16 14:48:04,100182,BROWSE,139,KykdohEQonnIemfU,srCLfFCaclYzZeRrUfblrkjKWQqKDorTaBxtLtTrBcwpThaMPGPmRXqlUJtOiGCgQDrWgSlMBDwjzzABPfvCVrtQzAqjjrX
1000038,2021-08-09 06:38:43,100365,LEARNING_COMMITTING,119,dMoXuUUNYm,CcaiUANRoNJnqvMVuSKbJFYuscxdakpjpgWNbzUoyUZhLbaVSHdeEzMLmEMc
1000039,2021-09-12 03:39:36,100150,LEARNING_COMMITTING,125,RbSc,LWblahgoSFzd
1000040,2021-08-09 17:20:24,100456,SEARCHING,149,gBlgumdhmLmGoVj,bwMccBQvVEhfxemUOkQehZXfkvfrTWkoANJzYmuGLYxOcxBjAKFrzJwClGFnDgPplofcIBfKsr
1000041,2021-09-10 02:15:35,100565,FILTERING,138,PJgzWkMXLF,IHJoeIopBdUIvBlDchVy iWjsrIQepdOj hIIuAqohuJHpnRXjAknEh
1000042,2021-08-30 17:31:51,100171,CANCEL_PAYMENT,133,tAxEcEKXJJTFUrsUxFrByoKU,BPZjbUmshDQq OzvjIuEBNrtlGjQeBCWUchxxSplBGyTUUDZnhbCNVwjyCqFnuXxmLTXYWNK Ycm oTrfD oKyNGIGOwWNerNRY
1000043,2021-08-27 10:51:21,100095,BROWSE,130,VVpOmsX," STeuGfpeLpunFekKApxyIhXdCzDYkYcsuOIscHSuXJUkNVByLkPIerTlRxpHrJuhCxigmuhiNvRPYWaeiNkFNiEXGaSdNxDSqU"
1000044,2021-08-24 12:32:33,100055,BROWSE,141,kMWIsSNKfVFYSZ,GQEUtQXShJAeFBDxJgLfNsxQQYVHYaZCcWaTLHygFXuHHPoSnLwioLRSfkWLiXvBzVCsxEM AMJueBJlsPzMIWgfLzpfimsmqcG
1000045,2021-08-30 03:15:15,100816,FILTERING,107,bPidNTCJabYZVlLiHnRIdkJs,UOPBscfQm BjnmtbFHlfqsIbkaryaSghwcIusibwCqxcdhlkdNEHcxIUzXZxf jxRSrvJvQN
1000046,2021-08-13 18:17:46,100608,CANCEL_PAYMENT,106,yPSRSDLIXqBLOOUyr,aOobyryOPlHvMpciWllqMcPWWpgiduKoBfesJawaodjUVqxgtlhlXDPQjsCTHdTKcuHAxHMCM
1000047,2021-08-30 20:17:12,100862,LEARNING_COMMITTING,125,,IGqVJEjv TYodvGfq rahCZ aogusSiVRQUpcJSPmuIvTgoRx dGxQWSfCVCllCRHdDxEPLKorpUqkE
1000048,2021-09-22 23:43:34,100476,LEARNING_COMMITTING,146,GhabhfTWCIKx,EWCZvpLdldPHEWOExTSrxyOiE hmIjEWcehAuSWgiEsoEbPfCmWqQurjbhUp COTN
1000049,2021-09-21 03:18:31,100852,FILTERING,121,bQSUIfObmdMTzRolONJkNCArpGtseV,CCLqJioWXBSoXtnWkJcDgpuYrikKOmJISpmzuSJrReGOpuNlAFBLrzhsHPWHVxfBY
1000050,2021-09-28 08:20:45,100069,COMPLETION,131,JhnydlY,"xbikUeSO TErgiKpbRaGaVTXJiNlJcRxwjuJ bGqXy "
1000051,2021-09-15 00:23:33,100199,LEARNING_COMMITTING,107,GgoAqYuwFrdtOPmmlmjFIKIAr,JKQTbrMiWqzAPgIBvnZqfVjnDyOcRRZhBsyVGtJkgkIXmIdCxESUmyadDBAMePIlBBZuoNUjZAUSJjLgY
1000052,2021-09-13 02:47:43,100703,FILTERING,110,riRUqlqihXbMz,nTAxHAThCNtSc cVZLpivZXfDSydyqNSbjor
1000053,2021-09-21 13:57:29,100360,BROWSE,128,B,NkFYdpLOQMUjehPgFTolcgAdmOtHYMbGBOJThVniBcumdtDQZwRolIzlHyCgwDZOGhZytnIsoyyjVcsBDNrDFbVdNC
1000054,2021-09-23 23:52:30,100038,CANCEL_PAYMENT,114,V,JjIyxpRqYtfAzFdROLyMsxuBCFZIcFYjcxCbcuXpSdusyoiywbphzsfUomSpWAWnTKmGbCaGWgEFa
1000055,2021-08-10 19:53:31,100317,SEARCHING,112,lUFMSNx,URyCcZ oICeSyDZrWcNHMBjuVVacfhxnvzefRakahtVDKvzIRtsyIUHSlfCYYvKNiOLeIFPMIYHcMxzjeySTz
1000056,2021-09-18 06:53:09,100601,CANCEL_PAYMENT,114,pRpwPVCfjUvmLlFDycfWjr,KkPeUJGDnuXYYZTGB gjsTKNjOjpjklXTaiyNhIDqpvSjgoTRrOdroXsiAnmxtLYZvXlajNHOmEwOfXOtnE
1000057,2021-08-27 22:06:26,100402,COMPLETION,139,kRZNXmemSFXexTPKnOEHgNdpghBF,hOAVzSuJMjsgnGFqWmKgxAgmRRzVQhPi zHdTseMBeUWIUSQYrdeSBeARHBfnaMUZWdTQSXzvExjNn
1000058,2021-08-19 21:03:57,100754,FILTERING,131,vbcEcJRdqGMpVO,imXVLsmDFUXm dRJjnndgbOHARdMsGZ
1000059,2021-09-05 02:56:36,100064,LEARNING_COMMITTING,101,nmZfqXyGUXhAkSFAitYRfa,JFggVU UGBzyGDiTMdLzeHfeEQvSwVrUlkxjgR UILAtgIOuvGbK tQhmzlbYQpypGtKjcyzJSQekYHOFp
1000060,2021-08-20 07:34:09,100020,BROWSE,128,BeZqCPQQkonyhOL,lfpPobtijVKTPZJGvVoBvacCpC LbojoYRpgwuEUAurIHqjYZiGMipuURnJiyBpUQEcbiYAROKh
1000061,2021-08-12 15:01:18,100786,LEARNING_COMMITTING,140,UHJbtBRKbccWQulHm,fx lDHDBYoupgKTj syMYOfaUctkPfkBaWCGRzkKIPlALLiZBfwdjlSJknbjGjKgUodTcxfACGxFh
1000062,2021-09-05 05:02:32,100359,CANCEL_PAYMENT,110,lFg,yLFUZGRscAwqlRuDxDk
1000063,2021-08-27 20:38:35,100470,CANCEL_PAYMENT,140,bvEDGxJdxBPBDSeMYXAidOfkG,qcTXLmrxWFlEnMwKXXAUHjQrMRywii
1000064,2021-08-15 07:40:15,100750,SEARCHING,119,UuFIqdjSkTEddEzEgTydHyn,uSDkPNlxJTqOEsVWRriNZmkFsuHnwlQirLYxyQWenYIwjw
1000065,2021-08-04 21:17:15,100883,COMPARING,130,yEMXCebs,LAkFnt u RlX uVbUsZBXlznBcJvNeyBQDidrqpYMlTLeQoZyGFukyabpeODBCgFOXKmZhf lbLfizgj
1000066,2021-09-23 08:26:06,100759,LEARNING_COMMITTING,116,pUymFFpXEG,IeuH uRvkdOeJHvvoXXQSPaBGzBW RMFZDmYjanWaMTcxDnOks
1000067,2021-08-10 23:55:58,100651,CANCEL_PAYMENT,126,ZDBQfIdUcMCDbKKpOFEa,BAGKQMwiMMdsaCaz wLhXSZtujexJWdFFTACHXfvLwabWzwfnositWrbfaXZXkVd QGUcayyZwMZbNMkPJ
1000068,2021-09-13 19:27:31,100849,SEARCHING,133,tjYuDabuCagcoxIZi,tbyP YtfaEYgtIBbJu
1000069,2021-08-01 12:01:44,100912,CANCEL_PAYMENT,119,n,FbAVqytAbvhqUrViMVYcYsdhIanUAzQcqummOoywEaVciaWPivmRrFGemUFFO
1000070,2021-08-23 02:51:55,100161,COMPLETION,103,zODDGVBvWM,riFkFSNcNpjbzqUVMXDBUeSvDxadsukmIvfDYDfiLeOWjBmAsJcMgRg
1000071,2021-08-31 06:57:12,100651,SEARCHING,144,WqCZ,cwMnxRSecpBxUrAgTvvgZQvXcuwGdIwdxqCQ
1000072,2021-08-24 07:40:49,100440,BROWSE,139,lBEGYYPKcMnZrePXOtTQiBsfb,pi bvcVaExlaRHuwiYHSGxQRwNOWbFXHcaEwvhtGxZJfLCOHyPNfVvntaHaxzRkhFRdgedYmBed BMSfKvzOTwbgWoqKOxKGAW
1000073,2021-09-10 07:57:44,100025,FILTERING,139,KELzkxYgYVzbIsEJaseENuS,yxNwLNYWKekcSOpzPQlwQHNKEbMgUJcvLt
1000074,2021-09-06 19:50:35,100650,LEARNING_COMMITTING,149,gBeo,moeQvDlfArQVMSjvPCWDkCjzedTxf
1000075,2021-08-28 12:44:17,100745,CANCEL_PAYMENT,132,vsaXKgSOuHgsfTAQ,iyztolLJBfkLlGhjf qqjKtdnFxbxlCYybBkTEJfqUpIjkVJDuckncKqFqbVBqjwjkjqaEoNhYfOEfFlBlUHq MVzGUoBGwWR
1000076,2021-08-24 02:50:12,100896,CANCEL_PAYMENT,105,BsRoKqd,lyubEEPbCQzlooCbSXNYCWTjuyOYFluzINEyJtkrEudAwkvJ
1000077,2021-09-26 17:29:42,100722,SEARCHING,127,ngqL,yzzQvcOVXoLvuCSWGkWsSDrdbigwesDabShWqvUruvcUQuKmJf
1000078,2021-09-15 01:49:52,100902,SEARCHING,105,spWKLnxyIFvFUxDlbnp,v ZBBqMloBGXiwLTVnSqiFIlfkbcVlKZ
1000079,2021-09-23 19:04:22,100239,BROWSE,134,szZWzryvolQVurU,NaolZIACuEVdfRubEQGdWGXGuktjNCyKjwvWWE elhrlLSecbu xXEktMxrLvwzzcHNmnMrJJi  pnpqpwFi
1000080,2021-09-23 20:05:49,100972,COMPARING,118,smkYhrGkfOVrlpicsLlHrwdjrhFR,WcsFTVBdkPSRJWCOXHkWmASJDGgovpoLspLySsKMeSLETHK DkvzNubaPOXJZVN
1000081,2021-08-18 23:26:43,100762,COMPARING,121,IwVXzCjyDoIuQuygnKCysnvOvap,BrFpkseVtZ
1000082,2021-09-20 17:48:06,100047,CANCEL_PAYMENT,134,WRqiNZAVxLJxpCDsWtgmGzGnlTmWtg," tIvOxTKdwtznvRWUl"
1000083,2021-09-01 23:09:07,100997,LEARNING_COMMITTING,118,fpcZy,kbjHMBWOHNKzRCSnAiJfXqPJkqGyEGLvaNQUualxsCiTKqYNZPNhJWRYfXYiuYVl
1000084,2021-08-11 06:42:20,100956,COMPLETION,128,dErBNCcrSmztUICbmZ,aWViPzWhrXs
1000085,2021-08-10 05:27:12,100817,LEARNING_COMMITTING,114,LOOILNwCPuglFFDCd,DZQFtVZUDcuaEFzqINSz
1000086,2021-09-26 21:58:24,100294,BROWSE,127,qasynoOZuYt,PNslhnVOMPHzHsriLv qQNBsfzoCkgttgIDzMawUJFxZqiRR
1000087,2021-09-08 09:02:47,100789,LEARNING_COMMITTING,107,NmGBeWTmMZseAtwhCc,AOHpBeHFWdABFZRWsCtUiytIthJTLNvbRcwdeYsBDHhBnmHwMwSGUmoeLr nB Nfid fGYOJVOADapTphnOhuTYybh
1000088,2021-09-26 04:57:00,100746,COMPARING,132,PyVbRgShAeTRom,fbgYFqpbhXEoxqPgqAFJGnAobkle xf zZZZRDsIlEnKMUXCTvLr dkDfMEGnfNpFlcqdMfjyZfEIYBOocDTyFABdeR
1000089,2021-08-08 14:19:47,100827,BROWSE,141,RACdKMS,tPGpGhFHchjnQsEmhLAxjPIjcqQPH
1000090,2021-09-13 16:37:23,100577,CANCEL_PAYMENT,148,QMEiRrVPPFiuOztRrObLfSZsSBJgnk,GBp sAUrTPGgTJBVBgEbJZPzVgO JxriRHnptsp CRXsRAaM xszdrwswbcrwetWC DiwAfkHlPZWgjYpdSvagm YDKszRAMNeo
1000091,2021-09-08 12:52:37,100687,SEARCHING,141,aqkzYBFxhBGxVLIrvrNAeVoF,cZSqphpwNJD
1000092,2021-08-19 15:39:18,100606,SEARCHING,122,HTCRnlEeERzuERWHlfxoymKddWgR,fkgNTbhVpefmDwyJuxcE widJXQuYEtbmwwTmgppyYWiESlCWBVxUnxFESRTbDjpzqPDCQrYLirQvlWos
1000093,2021-08-14 02:04:34,100539,COMPARING,113,RASMF,FbSoTIllyrJAAMKlb
1000094,2021-09-13 09:06:01,100702,CANCEL_PAYMENT,115,UqDorke,OtmKWblRwfjowOAPIgOjIZMUgIPLm ycWMyBNBKLWkTCIAhJuKhRBOCXUlRYayMFKArVQjieGswVcmM
1000095,2021-09-18 05:11:50,100863,COMPARING,105,LalmCAD,ZILWqTNHStsGOWuLikczhIdxyusLiZhdpDvTntFiUqfKgSnNbjuNHpaTEOQHbLsqNdoLs wpqen
1000096,2021-09-21 23:48:33,100491,SEARCHING,109,jlBHFkf,DeNICQylDzqdEaARwUEornGwPwJHGwiSPrg C
1000097,2021-09-15 13:48:40,100761,CANCEL_PAYMENT,142,ZyGUcxaohVSRYra,yzkTVUvcoAuHEmgGINbdLIymYJfqHdoHtrjgVRtyabTSRglosGoURCzBwicDCwADLDApsUuTJBr
1000098,2021-08-23 18:55:53,100036,COMPLETION,107,lvwjEyGgqoZuPrGEqNQKYLZctFAS,icNXctzFPooHIEOuhmqyfCktvHZKEmXJNcRUQVvVeGnXKwBrEViNoKCaEuFPmBDAfCluUvqUaQFIhEbryrjRNAwFsklHkNUn
1000099,2021-09-28 05:40:13,100394,CANCEL_PAYMENT,104,SnZrbIjXNUkUzaKoEqzUYiClZpPscL,nCxBauZWkxFEBKamZh gLKf phyoZgT  mXzCV kTHeHjUxJhFlAOE
1000100,2021-08-11 11:54:56,100198,SEARCHING,100,PddGPSRWsRMZM,TjvdRktn VQOQxnhKUenbRUTrvPSDVJ aXedUqVwkoWOYeaPfQDnkct UfZpNSNzLeHGaoYhRqLn
1000101,2021-09-21 11:33:07,100929,CANCEL_PAYMENT,115,GtEGjCSfnYBPLfKvYuSMVHFBgMe,BTYNQuDMVdsJkcLcM ZyoE npNgHLJyFCJzmLlcsAsbqgRKIfwOuhMqorAYIJLPZignoecvRvunmQmddeVK
1000102,2021-09-27 13:02:13,100709,SEARCHING,122,pdpAPZmviPBmUrJhIpxvlUHq,YaFcWnTQYwoXzGSSMkQSejgjTCHuTOxWRPvtwKcfOEuxJ DpESB
1000103,2021-09-09 04:01:37,100923,FILTERING,105,KFVu,iWLPPzRZLdrsCfGKmdIrCQsWvhenAluSbpKvLVMjQxGyKdDhNjXPesZPwdfmOo SmoMcaCrhaOfmiIRSyNBgnhwiDNovZS EPH
1000104,2021-09-04 13:26:28,100587,COMPLETION,103,lSsQqePXNeT,QmQoxswtTUmGNyiOcyPHhCbDM ZIKOVwPQABZxIHGpXbvmASEsCHAomSfJcxgPcIv TYMPpTjKXfLtAWtCNxWbfntb
1000105,2021-09-22 22:28:22,100191,COMPARING,110,URhtzTFLu,YxuRJBBTJWilLfkBRCXvOlTSXsMlZl UctJXeyogsmdFiIKIQHhuRVBuQtfDcrL
1000106,2021-08-16 01:36:36,100876,CANCEL_PAYMENT,101,oIubSNfLAHpflvUZ,zyzlkJGuadjzuOhvKgztbonBCVXjJVarqWLNYDXmjHnQmGyPJYvKCe YRAKaGGlV
1000107,2021-08-03 05:14:37,100118,SEARCHING,126,tAu,ucQCOfXhQMQOGJjjcmZQsrrbLPH
1000108,2021-08-12 12:40:57,100354,LEARNING_COMMITTING,115,ETnEvhUtWPZGrWkYWSkeuAib,ATOgpsITJtZJ mMOWnjYHRzZjxlKhdfnLRkERkMcnMTMtJNcrSkxinJzMgEkMTcipWAUtzJaKZdNlV
1000109,2021-09-11 06:33:17,100939,FILTERING,110,FwELcv,UszuPeESVR
1000110,2021-08-06 04:16:45,100448,SEARCHING,117,GKBExmaJQl,FpubKGSncLZgdSwyGlrPpQ RiVSRjhNMMRgIisthgyj
1000111,2021-09-03 10:44:30,100693,BROWSE,140,oZOChSUNjQY,PUBMmgjcQ FtCIMBsMjWSzTjWpNXxInaYEgcCFdeBDKsZdLb PBzsG RtpuFlDyHZtPOEmZG ppRIr uAEmN
1000112,2021-08-22 23:38:55,100652,BROWSE,116,xCvgdgJzYLFZICUdnfJEyG,xBcRiQotoCybbZyYEFbYipN
1000113,2021-09-14 04:58:27,100064,CANCEL_PAYMENT,121,uerjcSDhTJiQ,"wz sOkbCooqcvvsmOaGvCHTEcbnMAajEZGilNVkHREAPxbfH tkvArIihMjsquGmYMqNbTHbnL "
1000114,2021-08-24 20:39:35,100160,LEARNING_COMMITTING,118,NGJFvFjbsEvVFOboKAg,dshYeogOBvdKBOlSxMDlCrlGbpITc aAvZhVqA RXKoLyXZowUHVsxv QBgQBrzrdXCVzSoAsWuaZWdnKKjKZQAdFKxD
1000115,2021-08-26 05:07:12,100118,FILTERING,105,bBmDpivmc,WogRGHuhtIGBvZfXlnepBV
1000116,2021-08-20 21:21:50,100834,COMPARING,131,dnpjBpM,xPjPALlhvhZvyuT EJzeGOnqXlgPsGrtNezgVRrTxWVvEOoKLCzLoPbqTYNmjCjwxIMBNITQovNDRZJT
1000117,2021-09-18 17:19:39,100186,LEARNING_COMMITTING,140,,xIaFkAJxtqAfFoalCbbpnJbEuBPFgJiVFNTRj  oRwD
1000118,2021-09-24 04:19:21,100494,COMPARING,126,wveXzTompQQhVCtm,xyYvbATDQ cmVXdITiEpixAggxDYQtqGthJqmPpKfQtHIbqPUaBKZuPKrbVgDmjyLknRgLuBBZoxlzqsLKN CqTPhvpdviMHjRS
1000119,2021-09-20 15:58:37,100237,BROWSE,103,WrEvGVlBHPmeDzXBmPZAAPjZkcWAvr,JsbzSFeKxKdUXNGs FyOEbktRKhrLMsbeEAI
1000120,2021-09-02 02:01:56,100767,FILTERING,110,qWLtnZgPbKmTcIQQQRekYW,iuxYjsNMeGCvItFZQHlSNODNJobJqZveLKUrHABtkXHAbpDatVYagHxVHaleaqeBHx
1000121,2021-09-20 10:28:09,100641,LEARNING_COMMITTING,133,oeegEiPTsdgkDbQGPQvMOw,KcZRaWRwxRPkcYZwQXoYLTnJGNxqxYlsCaFMvtBuNzpkrzydALZYHdOScTyFXiddVZwDwFsWbfeEhdwkdTxihPae
1000122,2021-09-27 03:21:53,100147,LEARNING_COMMITTING,132,bsFiklsnWzVnkyx,aRsQkkKTMglpLOJTpxPzaEnxOLjhYnaSASuWWsRXmuHVOBlJP EQRI qnxTeIlnsfg
1000123,2021-08-20 00:00:09,100343,FILTERING,100,rwqDSFAOGIjjYnaFsqxlfukhPPCPy,TdTkumPcUzMfjJVPLlXEhbgHeIRanpwxhTPkMiFVJezMccsuSKXepELEujVEyJYE
1000124,2021-08-05 20:38:26,100490,CANCEL_PAYMENT,136,DEAAiYViWPqyqq,bZhRZSwfVLZQULxy mTuskdKWvizLhChLlhdHLkSFmTHFkpnUiZQRuEtdotPmRSmJFbFQghHbVoyy zDgcHPEmlqgDLPWSeC
1000125,2021-08-20 13:28:04,100025,SEARCHING,105,FNEDRSVSCrrbd,jbiakfLmRgaBTLivDJDHlIiZUsFUY
1000126,2021-09-14 11:49:31,100189,BROWSE,100,YVEfJnc,iyreZodeulDxcOgTdRh xoVNHtKaPnYKhLlAmPqJOtbGTvHntopUCYeKUilXwytfEzJNshP
1000127,2021-09-13 06:42:26,100756,SEARCHING,135,Hbct,hnSynJnJauvIubzeJtoFffdjziuWVUrtdZcXGHCPSjcddAdIBeuYLiFNAikpcByggov VuKUkYUCTRwvUsKfeExNNFucEoKLIW
1000128,2021-09-17 06:45:27,100800,FILTERING,145,LFvSvQuwpD,CWhnBoprBIGMRajlbYltUEYAbrhnpDxYWjgGexKZMreKcHyFVMLHjKjCLOsQKxhgtiLkLmuemvrCZurCYfPhIn WJ
1000129,2021-09-03 05:39:23,100300,COMPARING,147,HlOaqyKl,PlhVIQTRuaSpXmlCbmTD
1000130,2021-08-26 01:15:32,100298,BROWSE,131,xCYSsO,chfBFPfzUZznnLnsHYipattlovHvaMCpEeAb
1000131,2021-08-22 05:11:21,100680,COMPARING,133,PvlULYpKR,qcfDAtOFebmsWXqtfdRqQbsCjSrO c bpkVvlOJjbsWyZbDIXTCs UtQIFfDImXur
1000132,2021-08-24 00:39:58,100195,FILTERING,109,pnsHfqWyaScfXonqIvOJP,twxOdLoKDisOqOnrXKLqLZsrcMeZISHBYTuZndZyJiWYEfHFVjqJEo gDGSJayE
1000133,2021-08-29 00:17:46,100291,COMPARING,144,aBYh,WmuyzrJJLijCjHVPvtAMvuYPAlFdsBHlhsjpqBTrOFhXTgBXtO
1000134,2021-09-22 09:04:54,100701,FILTERING,108,wMsX,DgdMwKgrt yvIfHaqxgxKqvfrMDVWZvZIhZlVXrRUIqM
1000135,2021-08-03 08:38:13,100958,CANCEL_PAYMENT,108,rgrDjxP,oHaCuKQiCxNoSJ PWPlHZQImzXgfRSdwv mXUlaTebHkEtXhHwjJYQjKRhPUH mBqSMvOEdaHwSOwudQIQ
